VOYAGEID,ARRPORT,CAPTAINA,CREW1,CREW2,D1SLATRA,D1SLATRB,D1SLATRC,DATARR32,DATARR33,DATARR34,DATEDEP,DATEDEPA,DATEDEPAM,DATEDEPB,DATEDEPC,DATEEND,DATELAND1,DATELAND2,DEPTREGIMP,DEPTREGIMP1,DLSLATRA,DLSLATRB,DLSLATRC,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,OWNERA,OWNERB,OWNERC,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,XMIMPFLAG,YEAR5,YEAR10,YEAR25,YEAR100,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,filter_$
1,50299,"Dias, Manoel José",,,,,,16,1,1817,1816-08-04,4,,8,1816,,1817-01-16,,50400,50000,,12,1816,60820,,60800,,TRUE,49,1,14,1,60820,60800,60000,50299,60820,50200,50000,50299,6,4,,,,60820,,,,,50422,,50422,50200,,50200,,,60800,40,,,,,,Pastora de Lima,50299,290,,,114,290,,404,,,"PP,1845,XLIX:593-633","IDO,1817.02.07.","GRJ,07/08/1816",CapelaNotes,"AHU,Moçambique,Cx 151 No 108",,,,,,404,165,56,56,114,0.28,81,64,32,13,1800,1816,1817,1816,,,0
2,,"Mata, José Maria da",30,,,,,17,1,1817,1816-07-11,11,,7,1816,,1817-01-17,,50200,50000,,,,60820,,60800,,TRUE,1,1,14,1,60820,60800,60000,50299,60820,50200,50000,50299,6,,"Chaves, Domingos Pires dos Santos*",,,60820,,,,,50299,,50299,,,50200,,,60800,40,,,,,,Tibério,50299,223,,,,223,,246,,,"PP,1845,XLIX:593-633","IDO,1817.02.07.","AHMS, 27,4, p.63",,,,,,,,,190,74,74,,,81,64,32,13,1800,1817,1817,1816,,,0
3,,"Ferreira, José dos Santos",28,,,,,17,1,1817,1816-09-19,19,,9,1816,,1817-01-17,,50200,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,"Gomes, Antônio José",,,60711,,,,,50299,,50299,,,50200,,,60700,40,,,,,,Paquete Real,50299,350,,,55,350,,405,,,"PP,1845,XLIX:593-633","IDO,1817.02.07.","AHMS, 27.2, p. 2v",,,,,,,,405,120,,,55,0.14,81,64,32,13,1800,1817,1817,1816,,,0
4,50299,"Dias, Domingos Francisco",,,,11,1816,27,2,1817,1816-07-06,6,,7,1816,,1817-02-27,,50200,50000,,,,60820,,60800,,TRUE,49,1,14,1,60822,60800,60000,50299,60822,50200,50000,50299,6,,"Ferreira, Miguel Gonçalves",,,60822,,,,,50299,,50299,50200,,50200,,,60800,40,,,,,,Bom Caminho,50299,342,,,39,342,,381,,,"PP,1845,XLIX:593-633","IDO,16.07.02.",CapelaNotes,"AHU,Moçambique,Cx 151 No 91",,,,,,,381,236,,,39,0.1,81,64,32,13,1800,1817,1817,1816,,,0
5,,,,,,,,14,3,1817,,,,,,,1817-03-14,,50200,50000,,,,,,,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,"Rodrigues, José Antônio",,,60711,,,,,,,50299,,,50200,,,60700,25,,,,,,Benigretta,50299,516,,,,516,,578,,,"PP,1845,XLIX:593-633","IDO, 18/03/1817",,,,,,,,,,,,,,,63,64,32,13,1800,1817,1817,1817,,,0
6,,,,,,,,29,3,1817,,,,,,,1817-03-29,,50200,50000,,,,,,,,TRUE,1,1,14,1,60820,60800,60000,50299,60820,50200,50000,50299,6,,,,,60820,,,,,,,50299,,,50200,,,60800,,,,,,,Voador,50299,515,,,,515,,557,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,14,64,32,13,1800,1817,1817,1817,,,0
7,,"Viana, Isidoro Antônio",,,,,,28,4,1817,,,,,,,1817-04-28,,50200,50000,,,,,,,,TRUE,49,1,14,1,60725,60700,60000,50299,60725,50200,50000,50299,6,,"Machado, Manoel José*",,,60725,,,,,,,50299,,,50200,,,60700,2,,,,,,Formiga,50299,204,,,,204,,234,,,"PP,1845,XLIX:593-633","IDO,1817.05.06.",,,,,,,,,,,38,38,,,24,64,32,13,1800,1817,1817,1817,,,0
8,50399,"Amorim, José Gomes de",,,,,,4,5,1817,1816-11-04,4,,11,1816,,1817-05-04,,50300,50000,,,,60799,,60700,,TRUE,1,1,14,1,60799,60700,60000,50299,60734,50200,50000,50299,6,,"Machado, Fernando de Souza","Carvalho, Agostinho Luís Pinto de",,60734,,,,,50399,,50399,50300,,50200,,,60700,40,,,,,,Vigilante Africano,50299,374,,,,374,,413,,,"PP,1845,XLIX:593-633","AHNA, Codice C-16-2","AHNA, Códice C-9-4","APEJE, R.P.2.2.2.,p. 160v","IDO, 17.05.13.","IDO, 12/08/1817",,,,,,181,,,,,81,64,32,13,1800,1817,1817,1816,,,0
9,,"Narciso, Antônio",,,,,,27,3,1817,,,,,,,1817-03-27,,50200,50000,,,,,,,,TRUE,49,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,"Pereira, Domingos Pacheco",,,60711,,,,,,,50299,,,50200,,,60700,40,,,,,,Constante,50299,345,,,23,345,,368,,,"PP,1845,XLIX:593-633","IDO,1817.04.03.",,,,,,,,,368,,28,28,23,0.06,81,64,32,13,1800,1817,1817,1817,,,0
10,,"Braga, Isidoro Martins",29,,,,,12,7,1817,1817-02-22,22,,2,1817,,1817-07-12,,50200,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,,,Nobre,Sobrinho,Moreira*,60711,,,,,50299,,50299,,,50200,,,60700,40,,,,,,Comerciante,50299,478,,,3,478,,481,,,"PP,1845,XLIX:593-633","IDO, 1817.07.15.","IDO,1817.02.18.",,,,,,,,481,140,,22,3,0.006237006237,81,64,32,13,1800,1817,1817,1817,,,0
11,,,,,,,,3,8,1817,,,,,,,1817-08-03,,50200,50000,,,,,,,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,,,,60711,,,,,,,50299,,,50200,,,60700,,,,,,,Diligente,50299,180,,,,180,,195,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,14,64,32,13,1800,1817,1817,1817,,,0
12,,"Coelho, João Batista",22,,,,,5,8,1817,1816-12-18,18,,12,1816,,1817-08-05,,50200,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,"Oliveira, Joaquim José de",,,60711,,,,,50299,,50299,,,50200,,,60700,40,,,,,,Bonfim,50299,542,,,138,502,,640,,,"PP,1845,XLIX:593-633","IDO,17.8.12.","GRJ,15/01/1817","AHMS, 27.2, p. 5v",,,,,640,,640,230,27,27,138,0.22,81,64,32,13,1800,1817,1817,1816,,,0
13,,,,,,,,26,8,1817,,,,,,,1817-08-26,,50200,50000,,,,,,,,TRUE,1,1,14,1,60799,60700,60000,50299,60734,50200,50000,50299,6,,,,,60799,,,,,,,50299,,,50200,,,60700,,,,,,,Triunfo,50299,503,,,,503,,544,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,14,64,32,13,1800,1817,1817,1817,,,0
14,,"Vilasboas, João da Silveira",32,,,,,2,10,1817,1817-03-20,20,,3,1817,,1817-10-02,,50200,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,"Carneiro, Francisco Joaquim",,,60711,,,,,50299,,50299,,,50200,,,60700,40,,,,,,S Lourenço,50299,471,,,,471,,520,,,"PP,1845,XLIX:593-633","IDO,17.10.07.","AHMS, 27.2, p. 8",,,,,,,,,196,24,24,,,81,64,32,13,1800,1817,1817,1817,,,0
15,,"Almeida, Manoel Joaquim de",,,,,,16,10,1817,1817-07-12,12,,7,1817,,1817-10-16,,50200,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,Nobre,Sobrinho,Moreira,60711,,,,,50299,,50299,,,50200,,,60700,40,,,,,,Paquete da Bahia,50299,478,,,,478,,528,,,"PP,1845,XLIX:593-633","IDO,17.10.21.","IDO,17.04.03.","AHMS, 27.2, p. 10v",,,,,,,,96,,,,,81,64,32,13,1800,1817,1817,1817,,,0
